number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_gru_units_1,params_gru_units_2,params_learning_rate,state
0,0.8684394955635071,2023-12-11 12:59:31.016521,2023-12-11 13:04:42.638820,0 days 00:05:11.622299,288,0.2,384,64,0.002134662130371001,COMPLETE
1,0.8437281250953674,2023-12-11 13:04:42.639826,2023-12-11 13:10:49.903439,0 days 00:06:07.263613,288,0.4,288,256,0.00014111368126740154,COMPLETE
2,0.8708012700080872,2023-12-11 13:10:49.904406,2023-12-11 13:21:34.548381,0 days 00:10:44.643975,352,0.5,352,480,0.0006809865027975798,COMPLETE
3,0.8229531049728394,2023-12-11 13:21:34.549484,2023-12-11 13:33:06.622371,0 days 00:11:32.072887,96,0.4,416,448,0.00015772496837895155,COMPLETE
6,0.8612228631973267,2023-12-11 13:38:35.378259,2023-12-11 13:49:30.321189,0 days 00:10:54.942930,160,0.4,416,416,0.0025481515201665338,COMPLETE
10,0.09412176162004471,2023-12-11 13:54:29.970344,2023-12-11 14:04:29.235772,0 days 00:09:59.265428,448,0.5,512,352,0.008531968225534677,COMPLETE
20,0.866515040397644,2023-12-11 14:30:05.726404,2023-12-11 14:40:10.786250,0 days 00:10:05.059846,160,0.5,352,448,0.0015711630429851944,COMPLETE
