number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_learning_rate,params_lstm_units_1,params_lstm_units_2,state
0,0.8674772381782532,2023-12-13 01:18:35.993959,2023-12-13 01:35:34.125020,0 days 00:16:58.131061,320,0.2,0.003852952188934468,288,240,COMPLETE
1,0.8330563306808472,2023-12-13 01:35:34.126016,2023-12-13 02:06:37.017858,0 days 00:31:02.891842,64,0.2,0.00740776637449818,448,352,COMPLETE
5,0.8727694153785706,2023-12-13 02:16:02.946147,2023-12-13 02:20:15.390669,0 days 00:04:12.444522,192,0.2,0.002446962188724995,64,64,COMPLETE
11,0.8493701815605164,2023-12-13 02:33:00.174972,2023-12-13 02:55:15.767497,0 days 00:22:15.592525,352,0.30000000000000004,0.009008440056982472,352,272,COMPLETE
13,0.8612666130065918,2023-12-13 03:04:32.364849,2023-12-13 03:21:33.089381,0 days 00:17:00.724532,256,0.2,0.005418578483193642,320,224,COMPLETE
16,0.7909814715385437,2023-12-13 03:25:35.811853,2023-12-13 03:54:00.183882,0 days 00:28:24.372029,224,0.4,0.009208168906159643,416,336,COMPLETE
31,0.8356367945671082,2023-12-13 05:49:15.767532,2023-12-13 06:11:25.114290,0 days 00:22:09.346758,352,0.30000000000000004,0.00928635459352477,352,272,COMPLETE
41,0.8498513102531433,2023-12-13 08:09:05.305389,2023-12-13 08:31:13.063149,0 days 00:22:07.757760,352,0.30000000000000004,0.008791665277103419,352,272,COMPLETE
49,0.8383922576904297,2023-12-13 09:27:30.570895,2023-12-13 09:54:08.885971,0 days 00:26:38.315076,288,0.2,0.0064889431313285735,416,304,COMPLETE
