number,value,datetime_start,datetime_complete,duration,params_dense_units,params_dropout_rate,params_learning_rate,params_lstm_units_1,params_lstm_units_2,state
0,0.8119314312934875,2023-12-10 18:01:21.836956,2023-12-10 18:07:16.919405,0 days 00:05:55.082449,192,0.2,0.0009390052419240196,160,144,COMPLETE
1,0.6299422383308411,2023-12-10 18:07:16.920384,2023-12-10 18:11:18.136073,0 days 00:04:01.215689,64,0.5,0.0002926309183622114,64,64,COMPLETE
2,0.8666899800300598,2023-12-10 18:11:18.137019,2023-12-10 18:19:35.362001,0 days 00:08:17.224982,96,0.30000000000000004,0.0017594777792019648,256,192,COMPLETE
3,0.7178096771240234,2023-12-10 18:19:35.362955,2023-12-10 18:24:22.347757,0 days 00:04:46.984802,416,0.2,0.00038918700543874135,128,96,COMPLETE
4,0.637508749961853,2023-12-10 18:24:22.348727,2023-12-10 18:30:58.950326,0 days 00:06:36.601599,352,0.5,0.00021759003517509337,192,160,COMPLETE
10,0.8660339117050171,2023-12-10 18:44:51.092235,2023-12-10 18:55:37.026759,0 days 00:10:45.934524,96,0.30000000000000004,0.0015744571506486546,288,240,COMPLETE
22,0.8411914110183716,2023-12-10 19:21:18.027723,2023-12-10 19:27:28.236782,0 days 00:06:10.209059,192,0.2,0.0010459960926192035,192,128,COMPLETE
26,0.8074702620506287,2023-12-10 19:31:02.101580,2023-12-10 19:37:12.206235,0 days 00:06:10.104655,64,0.2,0.0005355023289382822,192,128,COMPLETE
